dimensi,mean,median,std,n_valid,n_missing
OVR_KC_OPERASIONAL_XYZ,5.84,6.0,0.4,1730,0
OVR_KC_PARKIR_XYZ,5.79,6.0,0.46,1729,1
OVR_KC_BANKINGHALL_XYZ,5.85,6.0,0.39,1728,2
OVR_KC_TOILET_XYZ,5.86,6.0,0.38,1724,6
OVR_KC_OPERASIONAL_KOM,5.28,5.0,0.85,545,1185
OVR_KC_PARKIR_KOM,5.22,5.0,0.88,545,1185
OVR_KC_BANKINGHALL_KOM,5.31,5.0,0.88,544,1186
OVR_KC_TOILET_KOM,5.29,5.0,0.87,540,1190
OVR_SEKURITI_XYZ,5.91,6.0,0.3,1729,1
OVR_SEKURITI_KOM,5.42,6.0,0.74,545,1185
OVR_TELLER_XYZ,5.9,6.0,0.32,1069,661
OVR_TELLER_KOM,5.41,6.0,0.73,347,1383
OVR_CS_XYZ,5.88,6.0,0.37,1046,684
OVR_CS_KOM,5.34,5.0,0.81,332,1398
OVR_CA_XYZ,5.87,6.0,0.38,70,1660
OVR_SARANA_XYZ,5.76,6.0,0.49,72,1658
OVR_ATM_XYZ,5.88,6.0,0.34,1597,133
OVR_ATM_KOM,5.44,6.0,0.75,521,1209
OVR_KC_XYZ,5.83,6.0,0.35,1730,0
OVR_KC_KOM,5.27,5.25,0.79,545,1185
